Kelime,Frekans
ve,6
nasıl,4
neden,4
kadar,4
İBB,4
hakkında,4
altı,3
karşı,3
için,3
en,3
daha,3
bir,3
kişi,2
bu,2
durum,2
grubu,2
iddianamesi:,2
ne,2
geliyor?,2
lideri,2
Trump,2
soruşturması:,2
hakkındaki,2
tedbir,2
kaldırıldı,2
tutuklandı,2
Suriye,2
Elon,2
kadın,2
Türkiye'de,2
yavaş,2
Fotoğraflarla,2
Kıbrıs'tan,1
izlenimler:,1
Rumlar,1
Türklere,1
adanın,1
geleceğine,1
bakıyor?,1
Savcılığın,1
'İmamoğlu,1
liderliğindeki,1
örgütün',1
yöneticisi,1
olmakla,1
suçladığı,1
kim?,1
'Deprem,1
fırtınası':,1
Balıkesir,1
